Seguridad,Símbolo,Sector GICS,Ubicación de la sede,Fundada
3M,MMM,Industriales,"Saint Paul, Minnesota",1902
A. O. Smith,AOS,Industriales,"Milwaukee, Wisconsin",1916
Abbott,ABT,Cuidado de Salud,"North Chicago, Illinois",1888
AbbVie,ABBV,Cuidado de Salud,"North Chicago, Illinois",2013 (1888)
Accenture,ACN,Tecnología Informática,"Dublin, Ireland",1989
Activision Blizzard,ATVI,Servicios de Comunicación,"Santa Monica, California",2008
ADM,ADM,Productos básicos,"Chicago, Illinois",1902
Adobe Inc.,ADBE,Tecnología Informática,"San Jose, California",1982
ADP,ADP,Tecnología Informática,"Roseland, New Jersey",1949
Advance Auto Parts,AAP,Consumo Discrecional,"Raleigh, North Carolina",1932
AES Corporation,AES,Utilidades,"Arlington, Virginia",1981
Aflac,AFL,Finanzas,"Columbus, Georgia",1955
Agilent Technologies,A,Cuidado de Salud,"Santa Clara, California",1999
Air Products and Chemicals,APD,Materiales,"Allentown, Pensilvania",1940
Akamai,AKAM,Tecnología Informática,"Cambridge, Massachusetts",1998
Alaska Air Group,ALK,Industriales,"SeaTac, Washington",1985
Albemarle Corporation,ALB,Materiales,"Charlotte, North Carolina",1994
Alexandria Real Estate Equities,ARE,Bienes Raíces,"Pasadena, California",1994
Align Technology,ALGN,Cuidado de Salud,"Tempe, Arizona",1997
Allegion,ALLE,Industriales,"New York City, New York",1908
Alliant Energy,LNT,Utilidades,"Madison, Wisconsin",1917
Allstate,ALL,Finanzas,"Northfield Township, Illinois",1931
Alphabet Inc. (Class A),GOOGL,Servicios de Comunicación,"Mountain View, California",1998
Alphabet Inc. (Class C),GOOG,Servicios de Comunicación,"Mountain View, California",1998
Altria,MO,Productos básicos,"Richmond, Virginia",1985
Amazon,AMZN,Consumo Discrecional,"Seattle, Washington",1994
Amcor,AMCR,Materiales,"Warmley, Bristol, United Kingdom",2019 (1860)
AMD,AMD,Tecnología Informática,"Santa Clara, California",1969
Ameren,AEE,Utilidades,"St. Louis, Missouri",1902
American Airlines Group,AAL,Industriales,"Fort Worth, Texas",1934
